"id","issue_id","title","body","created_at","closed_at","resolution_time","priority","milestone","author","assignee","tema_relacionado"
23,68649,"Site Editor: Template part is missing an icon in the sidebar","Related to a regression in the latest release | Related to the overarching Site Editor (formerly ""full site editing"")","2025-01-14","2025-01-15","22:49:19",NULL,NULL,"Mamaduka","","Padroes de Projeto"
24,68646,"Navigation Block: Treat `Navigation Block` as a synced block","A suggestion for improvement. | Used to indicate that a current issue matches an existing one and can be closed | /packages/block-editor","2025-01-14","2025-01-14","00:59:52",NULL,NULL,"yogeshbhutkar","yogeshbhutkar","Padroes e Estilos Arquiteturais"
25,68625,"`Navigation`: `Reset` button overlaps on the text when the text is long","An existing feature does not function as intended | Tracking issues with work in progress","2025-01-13","2025-01-14","19:44:24",NULL,NULL,"yogeshbhutkar","yogeshbhutkar","Padroes de Projeto"
26,68622,"Navigation: Deleting an individual `Navigation` block causes a warning to be displayed","An existing feature does not function as intended | Tracking issues with work in progress","2025-01-13","2025-01-13","01:17:11",NULL,NULL,"yogeshbhutkar","yogeshbhutkar","Arquitetura de Software"
27,68614,"Query loop excerpt begins with "">""","An existing feature does not function as intended | Affects the Post Excerpt Block | Affects the Query Loop Block","2025-01-12","2025-01-27","15 days 06:40:51",NULL,NULL,"jacobzymet","",NULL
28,68601,"Circular option picker: incorrect usage of Tooltip","An existing feature does not function as intended | Changes that impact accessibility and need corresponding review (e.g. markup changes). | Tracking issues with work in progress | /packages/components","2025-01-10","2025-01-14","3 days 19:28:38",NULL,NULL,"afercia","afercia","Padroes de Projeto"
29,68577,"Gutenberg editor not working if change capabilities for user role","An existing feature does not function as intended | Related to the template editor available in the Block Editor","2025-01-09","2025-01-10","11:48:41",NULL,NULL,"bradhogan","","Arquitetura de Software"
30,68541,"core/block-editor getSettings() does not return custom settings added from filter","An existing feature does not function as intended | Tracking issues with work in progress | Needs testing from a developer perspective. | /packages/block-editor","2025-01-07","2025-01-09","1 day 17:14:50",NULL,NULL,"colinduwe","","Padroes de Projeto"
31,68532,"Missing blocks: add filter allowing customizing the ""missing"" message","A suggestion for improvement.","2025-01-07","2025-01-09","1 day 21:42:15",NULL,NULL,"jeherve","","Padroes de Projeto"
32,68524,"Inconsistency in Clear Overlay Color Option in `featured-image` block.","An existing feature does not function as intended | Tracking issues with work in progress | Affects the Post Featured Image Block","2025-01-07","2025-01-07","00:36:36",NULL,NULL,"vipul0425","vipul0425","Padroes de Projeto"
33,68511,"Appearance > Design in classic themes: admin-bar class name in the Site Editor breaks designs","An existing feature does not function as intended | Tracking issues with work in progress","2025-01-07","2025-01-07","07:09:51",NULL,NULL,"carolinan","carolinan","Arquitetura de Software"
34,68509,"File Block: Enable User Customization of Download Button Appearance","A suggestion for improvement. | Affects the File Block","2025-01-06","2025-01-07","13:16:57",NULL,NULL,"Mayank-Tripathi32","","Padroes de Projeto"
35,68494,"Site Editor - Insert from URL (Image, Audio and Video blocks) form input is too small","An existing feature does not function as intended | Tracking issues with work in progress | Anything that impacts the experience of managing media | /packages/block-editor","2025-01-06","2025-01-06","19:33:05",NULL,NULL,"ramonjd","","Padroes de Projeto"
36,68490,"[Bug] - Packages npm request @wordpress/upload-media","An existing feature does not function as intended | Tracking issues with work in progress | Follow-up required in order to be actionable. | Anything that impacts the experience of managing media | Needs testing from a developer perspective.","2025-01-05","2025-01-08","2 days 21:44:31",NULL,NULL,"xxxxvu","jsnajdr","Arquitetura de Software"
37,68475,"Need to Update Typo in triage.md","An existing feature does not function as intended | Tracking issues with work in progress","2025-01-03","2025-01-03","00:41:51",NULL,NULL,"darshilthakor","","Padroes de Projeto"
38,68469,"The reset button on ColorGradientSettingsDropdown doesn't close the popover","An existing feature does not function as intended | Color management","2025-01-02","2025-01-03","11:13:46",NULL,NULL,"shimotmk","","Padroes de Projeto"
39,68453,"Inconsistency in `Clear Color` Option in `Navigation` block.","An existing feature does not function as intended | Tracking issues with work in progress","2025-01-02","2025-01-10","8 days 07:28:43",NULL,NULL,"yogeshbhutkar","yogeshbhutkar","Padroes de Projeto"
40,68451,"The calendar block having issue with today date.","A suggestion for improvement. | Tracking issues with work in progress | Affects the Calendar Block","2025-01-01","2025-01-08","6 days 11:55:50",NULL,NULL,"viralsampat-multidots","benazeer-ben","Padroes de Projeto"
41,68442,"Typo in the TextTransformControl README.md","An existing feature does not function as intended | Tracking issues with work in progress","2025-01-01","2025-01-02","19:14:18",NULL,NULL,"im3dabasia","","Padroes de Projeto"
42,68381,"Page scroll is restricted when block inserter is shown in the editor","An existing feature does not function as intended | The main way to insert blocks using the + button in the editing interface | Related to the overarching Site Editor (formerly ""full site editing"")","2024-12-30","2025-01-02","2 days 18:27:58",NULL,NULL,"madhusudhand","","Padroes de Projeto"
43,68370,"useEffect","Help with setup, implementation, or ""How do I?"" questions.","2024-12-29","2024-12-29","05:27:24",NULL,NULL,"Pixelous","","Padroes de Projeto"
44,68367,"Pattern json import and export has stopped working on Wordpress.COM","An existing feature does not function as intended | A collection of blocks that can be synced (previously reusable blocks) or unsynced","2024-12-28","2024-12-30","2 days 05:17:33",NULL,NULL,"JungleGenius","tyxla","Arquitetura de Software"
45,68365,"Problem after usage npx @wordpress/create-block","An existing feature does not function as intended","2024-12-28","2024-12-28","01:09:45",NULL,NULL,"Egor-Demeshko","","Arquitetura de Software"
46,68341,"Refactor ""Settings"" panel of Video block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Video Block","2024-12-27","2024-12-27","01:18:14",NULL,NULL,"t-hamano","","Padroes de Projeto"
47,68333,"Useless Editor Classic Editor Is 100 Times Better Then This.","Follow-up required in order to be actionable.","2024-12-27","2024-12-30","3 days 14:52:48",NULL,NULL,"flowenworld","","Arquitetura de Software"
48,68306,"Storybook: cannot serve E2e storybook","Tracking issues with work in progress | Needs further testing to be confirmed. | Storybook and its stories for components","2024-12-26","2024-12-26","07:51:03",NULL,NULL,"t-hamano","t-hamano","Arquitetura de Software"
49,68302,"ref=""ref"" breaks toolbar","Overall functionality of blocks | Help with setup, implementation, or ""How do I?"" questions.","2024-12-26","2024-12-26","06:54:36",NULL,NULL,"Pixelous","","Padroes de Projeto"
50,68271,"Site Editor Layout Breaks When Selecting Font Sizes with Long Names in theme.json","An existing feature does not function as intended | Tracking issues with work in progress | Anything related to the broader Global Styles efforts, including Styles Engine and theme.json | Font and typography-related issues and PRs","2024-12-24","2024-12-30","5 days 19:53:37",NULL,NULL,"SainathPoojary","yogeshbhutkar","Arquitetura de Software"
51,68246,"Core media text block issue with the useFeaturedImage","An existing feature does not function as intended | Affects the Media & Text Block","2024-12-23","2024-12-24","21:41:41",NULL,NULL,"SH4LIN","","Padroes de Projeto"
52,68241,"Add Discord to the Social Links block.","A suggestion for improvement. | Tracking issues with work in progress | Affects the Social Block - used to display Social Media accounts","2024-12-23","2024-12-24","1 day 00:24:28",NULL,NULL,"Gulamdastgir-Momin","Gulamdastgir-Momin","Padroes de Projeto"
53,68217,"Table block: Bottom margin pushes the caption down","An existing feature does not function as intended | Tracking issues with work in progress | Affects the Table Block","2024-12-21","2024-12-27","6 days 02:25:32",NULL,NULL,"andersnoren","Infinite-Null","Padroes de Projeto"
54,68149,"Tabs: design / UX audit ahead of stabilization","Needs general design feedback. | /packages/components","2024-12-19","2025-01-09","20 days 17:40:16",NULL,NULL,"ciampo","","Padroes e Estilos Arquiteturais"
55,68138,"Inserter category tabs: avoid unnecessary aria-label","An existing feature does not function as intended | Changes that impact accessibility and need corresponding review (e.g. markup changes). | /packages/block-editor","2024-12-19","2024-12-20","21:32:04",NULL,NULL,"afercia","","Padroes de Projeto"
56,68094,"Patterns: replace a synced pattern's underlying content (like video blocks) without having to detach first","A suggestion for improvement. | Related to synced patterns (formerly reusable blocks)","2024-12-18","2024-12-21","2 days 23:40:40",NULL,NULL,"arunsathiya","","Padroes e Estilos Arquiteturais"
57,68091,"`Badge`: Add property to toggle truncation","A suggestion for improvement. | Tracking issues with work in progress | /packages/components | Issues related to the system of combining components according to best practices.","2024-12-18","2025-01-02","14 days 23:23:42",NULL,NULL,"jameskoster","mirka","Padroes de Projeto"
58,68090,"Error in @wordpress/components Storybook","An existing feature does not function as intended | Tracking issues with work in progress | Storybook and its stories for components","2024-12-18","2024-12-18","03:24:56",NULL,NULL,"psrpinto","swissspidy","Arquitetura de Software"
59,68081,"Gutenberg 19.8+ > editor role > edit page > blank page","An existing feature does not function as intended","2024-12-18","2024-12-18","00:03:45",NULL,NULL,"Marc-pi","","Arquitetura de Software"
60,68073,"Jerrad Allen mathews sername","","2024-12-18","2024-12-18","00:14:46",NULL,NULL,"Jennymebage","","Arquitetura de Software"
61,68072,"Business understanding un block jerrad mathews","","2024-12-18","2024-12-18","00:06:02",NULL,NULL,"Jennymebage","","Arquitetura de Software"
62,68064,"Show responsive preview icons at the same level as the drop-down menu","A suggestion for improvement.","2024-12-17","2024-12-18","11:31:21",NULL,NULL,"MathieuGodard","","Padroes e Estilos Arquiteturais"
63,68053,"Editing ""Page"" is broken for low capability users","An existing feature does not function as intended | Tracking issues with work in progress | Related to the template editor available in the Block Editor","2024-12-17","2024-12-27","10 days 04:37:57",NULL,NULL,"Mamaduka","jorgefilipecosta","Arquitetura de Software"
64,68046,"Property 'structuredClone' doesn't exist in React Native demo","An existing feature does not function as intended | Tracking issues with work in progress | Native mobile impl of the block editor. (Note: used in scripts, ping mobile folks to change)","2024-12-17","2024-12-19","1 day 23:43:28",NULL,NULL,"Serchinastico","Mamaduka","Arquitetura de Software"
65,68029,"Background image selector button spacing issue","An existing feature does not function as intended | Tracking issues with work in progress | /packages/components","2024-12-16","2025-01-02","16 days 16:48:56",NULL,NULL,"juanfra","","Padroes de Projeto"
66,68020,"Replace ad hoc badges with `Badge` component","A suggestion for improvement. | Tracking issues with work in progress","2024-12-16","2025-01-10","25 days 01:08:49",NULL,NULL,"jameskoster","juanfra","Padroes de Projeto"
67,67995,"Accessibility Checker for Compliance with Accessibility Standards","A suggestion for improvement. | Changes that impact accessibility and need corresponding review (e.g. markup changes).","2024-12-14","2024-12-17","2 days 15:47:11",NULL,NULL,"kogunlana","","Padroes e Estilos Arquiteturais"
68,67993,"HTML5 semantic tags wrappers for Gutenberg block elements","A suggestion for improvement. | Follow-up required in order to be actionable.","2024-12-14","2024-12-16","1 day 22:52:07",NULL,NULL,"tunyk","","Padroes e Estilos Arquiteturais"
69,67992,"data-nosnippet for Gutenberg blocks","A suggestion for improvement.","2024-12-14","2024-12-17","3 days 02:39:41",NULL,NULL,"tunyk","","Padroes e Estilos Arquiteturais"
70,67989,"Need to change http to https in one document file.","An existing feature does not function as intended | Documentation for developers | Tracking issues with work in progress","2024-12-14","2024-12-14","00:47:51",NULL,NULL,"pateljaymin29","","Arquitetura de Software"
71,67983,"[Flaky Test] should switch a schedule-ed post to draft in a large viewport","Gives the original author opportunity to update before closing. Can be reopened as needed. | Auto-generated flaky test report issue","2024-12-13","2025-01-07","24 days 08:31:59",NULL,NULL,"app/github-actions","","Arquitetura de Software"
72,67963,"Save panel: Improve logic to display conditional description","An existing feature does not function as intended | Tracking issues with work in progress | Related to saving functionality | /packages/editor","2024-12-13","2024-12-13","03:57:02",NULL,NULL,"afercia","afercia","Padroes de Projeto"
73,67950,"Refactor ""Position"" block support UI to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Tracking issues with work in progress | Tools that impact the appearance of blocks both to expand the number of tools and improve the experi","2024-12-13","2025-01-21","39 days 00:33:32",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
74,67948,"Refactor ""Settings"" panel of Navigation Submenu block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Submenu Block - for submenus in navigation","2024-12-13","2024-12-13","15:08:23",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
75,67947,"Refactor ""Settings"" panel of Navigation Item block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Tracking issues with work in progress | Affects the Navigation Link Block","2024-12-13","2024-12-19","6 days 08:32:09",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
76,67946,"Refactor ""Settings"" panel of Query Page Numbers block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Query Pagination Block - used for pagination within the Query Loop Block","2024-12-13","2024-12-13","15:09:51",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
77,67945,"Refactor ""Settings"" panel of Query Pagination block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Query Pagination Block - used for pagination within the Query Loop Block","2024-12-13","2024-12-16","3 days 03:30:57",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
78,67944,"Refactor ""Settings"" panel of Read More block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Read More Block","2024-12-13","2025-01-17","35 days 02:49:38",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
79,67942,"Refactor ""Settings"" panel of Author Name block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Author Name Block","2024-12-13","2025-01-13","30 days 22:57:27",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
80,67940,"Refactor ""Settings"" panel of Featured Image block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Post Featured Image Block","2024-12-13","2024-12-14","21:53:21",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
81,67937,"Refactor ""Settings"" panel of Query Loop block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Query Loop Block","2024-12-13","2025-01-12","30 days 02:07:36",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
82,67934,"Refactor ""Settings"" panel of Social Icon block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Tracking issues with work in progress | Affects the Social Block - used to display Social Media accounts","2024-12-13","2024-12-13","07:10:14",NULL,NULL,"fabiankaegy","Mayank-Tripathi32","Padroes de Projeto"
83,67933,"Refactor ""Settings"" panel of Social Icons block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Tracking issues with work in progress | Affects the Social Block - used to display Social Media accounts","2024-12-13","2024-12-13","07:22:58",NULL,NULL,"fabiankaegy","Mayank-Tripathi32","Padroes de Projeto"
84,67932,"Refactor ""Settings"" panel of Page List block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Tracking issues with work in progress | Affects the Page List Block","2024-12-13","2024-12-24","10 days 19:28:06",NULL,NULL,"fabiankaegy","t-hamano","Padroes de Projeto"
85,67930,"Refactor ""Settings"" panel of Latest Comments block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Latest Comments Block","2024-12-13","2025-01-18","35 days 20:53:01",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
86,67929,"Refactor ""Settings"" panel of Term List block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement.","2024-12-13","2025-01-18","35 days 20:33:27",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
87,67928,"Refactor ""Settings"" panel of Table of Contents block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Table of contents Block","2024-12-13","2025-01-13","31 days 00:23:11",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
88,67927,"Refactor ""Settings"" panel of Spacer block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Spacer Block","2024-12-13","2024-12-19","6 days 08:36:37",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
89,67926,"Refactor ""Settings"" panel of More block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Tracking issues with work in progress | Affects the More Block - used for displaying the 'Read More' link","2024-12-13","2024-12-16","3 days 02:53:53",NULL,NULL,"fabiankaegy","Mayank-Tripathi32","Padroes de Projeto"
90,67924,"Refactor ""Settings"" panel of Login/Logour block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Login/out Block","2024-12-13","2024-12-13","07:16:36",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
91,67923,"Refactor ""Settings"" panel of Archive Title block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Query Title Block","2024-12-13","2025-01-14","32 days 01:46:04",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
92,67922,"Refactor ""Settings"" panel of Column block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Columns Block","2024-12-13","2024-12-16","2 days 20:09:04",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
93,67921,"Refactor ""Settings"" panel of Tag Cloud block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Tag Cloud Block","2024-12-13","2024-12-13","07:21:42",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
94,67920,"Refactor ""Settings"" panel of Excerpt block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Post Excerpt Block","2024-12-13","2024-12-13","06:57:42",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
95,67917,"Refactor ""Settings"" panel of Date block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Tracking issues with work in progress | Affects the Post Date Block","2024-12-13","2024-12-18","5 days 01:54:45",NULL,NULL,"fabiankaegy","t-hamano","Padroes de Projeto"
96,67916,"Refactor ""Settings"" panel of Search block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Search Block - used to display a search field","2024-12-13","2025-01-17","35 days 01:03:34",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
97,67901,"Refactor ""Settings"" panel of Site Title block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Site Title Block","2024-12-12","2024-12-26","13 days 08:31:55",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
98,67900,"Refactor ""Settings"" panel of Table block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Table of contents Block","2024-12-12","2024-12-12","00:05:36",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
99,67894,"Refactor ""Settings"" panel of Details block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Tracking issues with work in progress | Affects the Details Block - used to display content which can be shown/hidden","2024-12-12","2024-12-13","18:41:33",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
100,67892,"Refactor ""Settings"" panel of Button block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Buttons Block","2024-12-12","2024-12-12","00:01:05",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
101,67890,"Refactor ""Settings"" panel of Archives block to use `ToolsPanel` instead of `PanelBody`","A suggestion for improvement. | Affects the Archives Block","2024-12-12","2024-12-12","00:14:08",NULL,NULL,"fabiankaegy","","Padroes de Projeto"
102,67875,"Block Editor breaks after updating to Gutenberg 19.8.0 - Blocks missing inside the editor","An existing feature does not function as intended | Tracking issues with work in progress | Related to the template editor available in the Block Editor","2024-12-12","2024-12-13","22:15:25",NULL,NULL,"CreativeDive","Mamaduka","Arquitetura de Software"
103,67866,"wp-scripts: Build fails when using pnpm with hoisting disabled.","An existing feature does not function as intended | /packages/scripts","2024-12-12","2024-12-24","11 days 23:40:39",NULL,NULL,"manzoorwanijk","","Arquitetura de Software"
104,67857,"Block options missing in listview and editor screen","An existing feature does not function as intended | Menu item in the top toolbar to select blocks from a list of links.","2024-12-12","2025-01-22","40 days 22:54:45",NULL,NULL,"rinkalpagdar","","Arquitetura de Software"
105,67847,"TypeScript type is missing selectors in `@wordpress/core-data` store","","2024-12-11","2025-01-06","25 days 09:06:43",NULL,NULL,"anomiex","","Arquitetura de Software"
106,67835,"add /assets folder to plugin build process","A suggestion for improvement. | Tracking issues with work in progress | Issues or PRs related to Gutenberg Plugin management related efforts","2024-12-11","2024-12-19","7 days 17:41:04",NULL,NULL,"bph","bph, ockham, youknowriad","Arquitetura de Software"
107,67816,"SidebarNavigationScreen: focus style cut off behind active item","An existing feature does not function as intended | Changes that impact accessibility and need corresponding review (e.g. markup changes). | Tracking issues with work in progress | /packages/edit-site","2024-12-11","2024-12-13","2 days 03:46:28",NULL,NULL,"afercia","afercia","Padroes de Projeto"
108,67809,"Block inserter does not work on widgets screen","An existing feature does not function as intended | The block-based screen that replaced widgets.php. | /packages/edit-widgets","2024-12-11","2024-12-18","7 days 15:34:45",NULL,NULL,"mt8","","Arquitetura de Software"
109,67761,"""set featured image"" can be misinterpreted","An existing feature does not function as intended","2024-12-09","2024-12-10","09:24:48",NULL,NULL,"timse201","","Padroes de Projeto"
110,67759,"CustomSelectControl: Button description doesn't update correctly when uncontrolled","An existing feature does not function as intended | Changes that impact accessibility and need corresponding review (e.g. markup changes). | Tracking issues with work in progress | /packages/components","2024-12-09","2024-12-12","2 days 11:20:49",NULL,NULL,"mirka","","Padroes de Projeto"
111,67755,"Inserter not focused when opening","An existing feature does not function as intended","2024-12-09","2024-12-09","00:43:29",NULL,NULL,"jeryj","jeryj","Arquitetura de Software"
112,67753,"Add Support for Custom Devices in the Preview","A suggestion for improvement. | The ability to extend blocks or the editing experience | Used to indicate that a current issue matches an existing one and can be closed","2024-12-09","2024-12-09","01:19:20",NULL,NULL,"abder","","Padroes e Estilos Arquiteturais"
113,67750,"New Units (dvh/dvw) from theme.json do not appear under Dimensions > Fixed Height in child group/row/stack blocks","An existing feature does not function as intended | Tracking issues with work in progress | Anything related to the broader Global Styles efforts, including Styles Engine and theme.json","2024-12-09","2024-12-11","1 day 16:36:13",NULL,NULL,"jhmonroe","t-hamano","Arquitetura de Software"
114,67748,"Query Pagination Previous block appears incorrectly when navigating to page outside of the query's range.","An existing feature does not function as intended | Tracking issues with work in progress | Affects the Query Loop Block | Affects the Query Pagination Block - used for pagination within the Query Loop Block","2024-12-09","2024-12-19","9 days 19:39:37",NULL,NULL,"michalczaplinski","","Arquitetura de Software"
115,67739,"Add a blueprint to Gutenberg plugin space","Tracking issues with work in progress | Issues or PRs related to Gutenberg Plugin management related efforts","2024-12-09","2024-12-11","2 days 00:42:36",NULL,NULL,"bph","bph","Padroes e Estilos Arquiteturais"
116,67737,"Style Book doesn't switch between Desktop, Tablet and Mobile views","An existing feature does not function as intended | Tracking issues with work in progress | ","2024-12-09","2025-01-24","45 days 18:39:03",NULL,NULL,"shimotmk","Mamaduka","Arquitetura de Software"
117,67721,"Select box display does not update when font size is reset","An existing feature does not function as intended | Tracking issues with work in progress | Font and typography-related issues and PRs","2024-12-09","2024-12-10","1 day 12:22:28",NULL,NULL,"inc2734","subodhr258","Padroes de Projeto"
